Portfolio,Owner,Instrument,Date,Price
Bank of America,Amazon,Bond,27/02/2018 12:47:39,60.30
BNP Paribas,Walmart,Equity,22/12/2018 19:25:39,185.49
Fannie Mae,Toyota,Futures,26/10/2018 23:14:54,769.22
Finanz Informatik,Amazon,Equity,14/09/2018 12:14:17,26.44
Deutsche Bank,Apple,CDS,12/08/2018 04:27:24,264.07
State Bank of India,Walmart,Loan,28/05/2018 20:53:22,337.41
Finanz Informatik,Samsung,Futures,14/03/2018 17:27:29,194.14
Bank of America,Google,Loan,04/04/2018 05:03:49,146.29
Bank of America,Samsung,Swap,03/11/2018 16:02:48,270.71
Bank of America,Samsung,Bond,10/06/2018 20:33:29,468.86
Deutsche Bank,Ford,Swap,21/08/2018 20:20:05,132.80
UOB,Apple,Bond,13/06/2018 11:53:33,208.42
Deutsche Bank,Walmart,Deposit,19/10/2018 17:03:48,109.44
Deutsche Bank,SimCorp,CDS,01/08/2018 13:51:20,314.08
Finanz Informatik,Ford,Options,24/12/2018 12:51:38,55.63
State Bank of India,Ford,Loan,01/05/2018 02:12:11,1.15
UOB,SimCorp,Equity,03/12/2018 06:27:22,126.90
Bank of America,SimCorp,Futures,13/11/2018 17:06:51,376.48
UOB,Amazon,Deposit,09/01/2018 16:12:16,225.77
Finanz Informatik,Toyota,Loan,13/02/2018 19:49:33,587.46
BNP Paribas,SimCorp,Equity,08/02/2018 10:37:28,508.84
State Bank of India,Microsoft,Equity,06/10/2018 09:42:06,344.17
BNP Paribas,Google,Deposit,16/06/2018 22:12:14,332.67
State Bank of India,SimCorp,Bond,03/05/2018 09:12:42,288.34
BNP Paribas,Toyota,Loan,27/04/2018 01:27:31,699.71
BNP Paribas,Toyota,Deposit,15/05/2018 21:44:45,171.18
Fannie Mae,Amazon,Bond,12/04/2018 11:18:51,231.40
Fannie Mae,Apple,Loan,11/10/2018 08:50:27,637.07
Barclays,Toyota,Loan,15/05/2018 05:41:38,293.39
Deutsche Bank,SimCorp,Equity,20/06/2018 16:41:04,233.82
Deutsche Bank,Walmart,Deposit,26/02/2018 03:23:05,508.12
BNP Paribas,Microsoft,Equity,25/01/2018 13:06:42,6.20
Deutsche Bank,Walmart,Swap,06/07/2018 17:51:54,223.48
Deutsche Bank,Samsung,Options,23/01/2018 21:54:10,70.71
UOB,Walmart,Options,05/09/2018 08:13:06,201.43
Bank of America,Ford,Loan,22/09/2018 02:37:13,131.30
Fannie Mae,SimCorp,Swap,15/04/2018 07:44:14,243.73
Deutsche Bank,Ford,Loan,12/04/2018 03:03:17,237.02
Bank of America,Toyota,Loan,04/12/2018 16:28:51,363.77
Finanz Informatik,Toyota,Equity,05/03/2018 08:39:18,176.56
Bank of America,Ford,Deposit,15/08/2018 15:42:59,169.44
BNP Paribas,Microsoft,Deposit,19/01/2018 12:09:02,173.13
UOB,Samsung,Swap,20/07/2018 22:41:03,163.38
Barclays,Toyota,Bond,07/07/2018 13:54:45,32.79
State Bank of India,SimCorp,Options,20/08/2018 22:54:10,238.97
Fannie Mae,Walmart,Bond,03/05/2018 17:58:20,414.89
State Bank of India,Toyota,Deposit,05/02/2018 07:15:15,546.53
Bank of America,Amazon,Options,25/09/2018 08:17:24,176.30
BNP Paribas,SimCorp,Futures,27/06/2018 20:39:44,632.98
Bank of America,Walmart,Deposit,16/11/2018 07:39:28,270.94
Deutsche Bank,Walmart,Loan,04/06/2018 18:03:24,196.23
Barclays,Walmart,Options,15/03/2018 10:13:21,363.66
Deutsche Bank,SimCorp,Deposit,16/04/2018 23:33:42,78.49
Deutsche Bank,Samsung,Swap,01/06/2018 09:11:01,95.10
UOB,Microsoft,Loan,03/09/2018 23:05:40,87.09
BNP Paribas,Microsoft,Loan,22/02/2018 05:53:04,77.86
Fannie Mae,Amazon,Equity,02/11/2018 15:35:05,184.85
Fannie Mae,Google,Swap,15/01/2018 10:15:03,30.87
State Bank of India,Samsung,Loan,14/01/2018 10:34:53,123.32
Barclays,Google,Equity,27/03/2018 11:59:22,557.10
Barclays,Ford,Options,25/03/2018 21:18:14,369.51
State Bank of India,Samsung,Deposit,06/04/2018 08:01:13,242.56
BNP Paribas,Toyota,Futures,18/04/2018 03:05:45,279.70
Barclays,Samsung,Loan,06/09/2018 22:22:06,17.32
BNP Paribas,Amazon,Loan,25/04/2018 16:17:50,95.23
Barclays,Toyota,Swap,13/01/2018 16:34:13,21.00
UOB,SimCorp,Bond,27/06/2018 02:29:09,477.21
State Bank of India,Ford,Bond,16/10/2018 17:23:08,33.90
UOB,Microsoft,CDS,18/07/2018 15:55:19,447.03
Finanz Informatik,Google,Futures,23/05/2018 14:13:49,155.71
Fannie Mae,Google,CDS,18/10/2018 13:42:09,266.33
Finanz Informatik,SimCorp,Deposit,26/08/2018 14:48:37,378.72
Fannie Mae,Google,Deposit,26/08/2018 19:26:41,345.25
Barclays,Walmart,Deposit,23/09/2018 17:30:58,11.18
State Bank of India,Samsung,Deposit,06/07/2018 21:24:51,174.80
UOB,Walmart,Swap,18/12/2018 23:16:09,136.88
BNP Paribas,Apple,Equity,07/07/2018 18:40:05,690.14
BNP Paribas,Samsung,CDS,12/10/2018 09:23:18,237.31
Barclays,Walmart,Equity,06/10/2018 21:35:47,45.31
Barclays,Amazon,Equity,01/02/2018 21:39:16,50.04
Fannie Mae,Amazon,Bond,05/03/2018 22:53:13,176.79
Bank of America,Ford,Deposit,11/10/2018 13:47:21,193.65
Fannie Mae,Samsung,Bond,22/12/2018 17:42:38,136.54
Deutsche Bank,Google,Swap,23/11/2018 02:31:59,411.26
BNP Paribas,Amazon,Equity,07/10/2018 12:35:19,214.69
Fannie Mae,Microsoft,Swap,09/01/2018 09:19:05,372.61
Fannie Mae,Microsoft,Futures,16/01/2018 11:59:51,235.19
BNP Paribas,Samsung,CDS,10/01/2018 18:40:13,9.72
Fannie Mae,Amazon,Swap,11/04/2018 09:13:57,263.04
UOB,Amazon,Options,02/03/2018 18:54:08,293.40
Barclays,Toyota,Loan,14/05/2018 08:36:50,197.67
Deutsche Bank,Google,Loan,09/03/2018 20:18:14,403.75
Finanz Informatik,Apple,Loan,16/08/2018 14:16:31,168.63
UOB,SimCorp,Swap,23/12/2018 10:07:33,23.25
UOB,Amazon,Loan,22/01/2018 15:08:20,108.19
Barclays,Toyota,Futures,15/02/2018 11:27:42,254.01
BNP Paribas,Apple,Deposit,19/02/2018 03:10:20,759.56
Deutsche Bank,Toyota,Futures,11/08/2018 21:46:13,370.34
Barclays,Ford,CDS,03/10/2018 05:07:52,750.26
State Bank of India,Amazon,CDS,28/11/2018 16:35:09,196.25
Barclays,Samsung,Swap,14/12/2018 17:15:47,255.16
Deutsche Bank,Microsoft,Swap,13/12/2018 03:28:58,471.51
BNP Paribas,Microsoft,Deposit,27/01/2018 08:02:33,15.62
Finanz Informatik,Walmart,Deposit,12/03/2018 16:02:39,484.71
State Bank of India,Amazon,Equity,19/11/2018 17:32:47,151.89
Fannie Mae,Walmart,Bond,18/11/2018 05:57:50,372.06
Deutsche Bank,Toyota,Bond,09/01/2018 02:24:41,11.45
BNP Paribas,Samsung,Options,15/08/2018 16:09:58,427.53
UOB,Microsoft,Bond,13/11/2018 16:31:56,123.54
Deutsche Bank,Google,Options,20/03/2018 07:14:07,160.02
Finanz Informatik,Samsung,Loan,21/08/2018 10:59:28,352.96
BNP Paribas,Ford,Futures,11/10/2018 11:34:16,359.46
Bank of America,SimCorp,Equity,03/04/2018 22:13:27,393.78
Barclays,Apple,Futures,25/10/2018 22:58:29,325.75
Deutsche Bank,Apple,Options,05/08/2018 17:45:46,11.94
Deutsche Bank,Ford,Options,02/12/2018 21:42:57,234.27
Fannie Mae,SimCorp,Futures,15/02/2018 01:33:36,454.47
Barclays,Apple,Equity,27/07/2018 12:53:32,465.27
Fannie Mae,Amazon,CDS,16/09/2018 11:31:30,71.86
Fannie Mae,Apple,Swap,24/04/2018 04:34:27,87.36
Fannie Mae,Google,Deposit,21/05/2018 15:48:57,18.74
State Bank of India,Google,Deposit,19/03/2018 18:53:44,608.04
Bank of America,Apple,Deposit,06/12/2018 11:09:54,74.99
State Bank of India,Amazon,Futures,06/01/2018 01:36:19,598.30
Deutsche Bank,SimCorp,Options,02/03/2018 02:14:46,21.05
Finanz Informatik,Samsung,Swap,17/01/2018 03:18:55,96.29
Barclays,Ford,Equity,19/03/2018 13:44:44,48.00
Fannie Mae,Walmart,CDS,11/08/2018 23:31:41,673.18
Fannie Mae,Amazon,Loan,16/08/2018 03:32:24,195.20
Deutsche Bank,Toyota,Equity,14/10/2018 18:20:21,74.67
Finanz Informatik,SimCorp,Deposit,26/12/2018 16:06:20,285.38
Bank of America,Walmart,Bond,01/01/2018 03:36:33,456.20
BNP Paribas,Amazon,Loan,27/11/2018 11:25:57,386.12
Deutsche Bank,Google,Equity,23/05/2018 18:33:22,59.46
BNP Paribas,Google,CDS,14/10/2018 03:39:10,655.03
Fannie Mae,Toyota,CDS,14/12/2018 23:12:55,331.40
Finanz Informatik,Google,Equity,01/01/2018 10:27:39,506.30
Bank of America,Microsoft,Deposit,16/10/2018 19:37:30,71.00
UOB,Microsoft,Equity,13/09/2018 21:29:12,350.35
Bank of America,Walmart,Futures,17/04/2018 20:58:39,728.87
Deutsche Bank,Ford,Swap,24/06/2018 22:57:54,126.83
Finanz Informatik,Toyota,Options,19/02/2018 01:56:31,306.62
State Bank of India,Microsoft,Deposit,21/05/2018 22:51:31,139.77
UOB,Ford,CDS,06/05/2018 19:19:44,129.88
State Bank of India,Walmart,Deposit,13/03/2018 20:07:14,477.74
State Bank of India,SimCorp,Bond,05/08/2018 10:13:33,409.21
BNP Paribas,Amazon,CDS,26/09/2018 10:59:11,676.13
Deutsche Bank,Google,CDS,07/02/2018 08:28:36,817.35
UOB,Walmart,Swap,22/07/2018 09:58:03,839.15
Bank of America,Toyota,Swap,12/12/2018 11:51:04,156.85
State Bank of India,Ford,Loan,26/10/2018 17:49:50,36.80
State Bank of India,Walmart,Options,03/11/2018 11:33:09,367.09
Barclays,Ford,Swap,07/03/2018 22:14:38,564.69
Barclays,Amazon,Loan,28/12/2018 21:21:05,582.50
Bank of America,Google,Options,23/05/2018 01:10:06,94.51
State Bank of India,Toyota,Bond,18/09/2018 22:58:05,859.12
Barclays,Google,Bond,09/09/2018 13:16:40,567.83
Fannie Mae,SimCorp,Futures,01/12/2018 07:22:34,246.99
UOB,Google,CDS,23/11/2018 19:20:35,111.40
State Bank of India,Microsoft,Futures,16/09/2018 08:03:53,47.65
Deutsche Bank,SimCorp,Equity,23/09/2018 11:13:10,31.18
Bank of America,Amazon,CDS,06/05/2018 09:29:15,271.74
Fannie Mae,Toyota,Loan,08/11/2018 20:58:47,504.97
Finanz Informatik,SimCorp,Futures,14/02/2018 07:56:58,259.09
Bank of America,Google,Deposit,14/01/2018 12:34:08,21.57
UOB,Samsung,Swap,02/07/2018 02:07:21,131.37
Barclays,Amazon,Deposit,02/01/2018 03:54:35,413.36
Barclays,SimCorp,Equity,27/07/2018 02:48:21,811.06
Finanz Informatik,Samsung,Loan,23/03/2018 11:29:54,279.63
Fannie Mae,Walmart,Options,25/02/2018 04:21:49,25.02
Bank of America,Ford,Equity,22/08/2018 09:36:28,437.19
Fannie Mae,Toyota,Swap,18/09/2018 15:07:37,622.75
Bank of America,Ford,Options,21/06/2018 20:57:04,142.38
Deutsche Bank,Ford,Futures,05/12/2018 08:36:42,533.55
UOB,Apple,Loan,05/01/2018 10:35:51,218.01
BNP Paribas,Toyota,Options,22/05/2018 15:27:45,155.89
Barclays,SimCorp,Deposit,08/11/2018 06:23:02,808.27
BNP Paribas,Amazon,Equity,20/10/2018 14:43:28,194.44
Finanz Informatik,Google,Options,22/06/2018 23:25:59,118.38
UOB,Samsung,Deposit,03/07/2018 08:14:27,106.63
BNP Paribas,Walmart,Loan,05/03/2018 15:32:49,719.97
State Bank of India,Ford,Futures,19/07/2018 07:58:22,191.64
UOB,Amazon,Deposit,13/12/2018 05:34:41,31.41
Finanz Informatik,Microsoft,CDS,08/05/2018 17:47:21,290.93
Barclays,Walmart,Loan,19/12/2018 21:24:16,52.48
Finanz Informatik,Samsung,Loan,03/06/2018 16:42:21,690.35
BNP Paribas,Samsung,Bond,24/05/2018 15:18:02,751.95
Barclays,Walmart,Bond,24/12/2018 06:05:52,312.12
UOB,Microsoft,Deposit,28/11/2018 12:54:12,197.19
State Bank of India,Amazon,Options,02/04/2018 15:29:57,207.76
Bank of America,Amazon,Swap,09/11/2018 17:45:24,15.79
Bank of America,Samsung,Bond,05/03/2018 18:59:13,560.53
Deutsche Bank,Apple,CDS,28/09/2018 02:05:49,142.07
Deutsche Bank,Apple,CDS,27/04/2018 10:23:57,265.88
UOB,SimCorp,Options,28/06/2018 04:25:21,203.12
Deutsche Bank,Microsoft,Options,08/10/2018 12:41:12,45.95
Deutsche Bank,Ford,Futures,03/06/2018 12:07:42,276.59
Finanz Informatik,Apple,Options,17/02/2018 06:32:13,216.01
Deutsche Bank,Toyota,CDS,17/08/2018 11:30:55,619.95
Deutsche Bank,Google,Bond,17/05/2018 20:02:07,22.37
BNP Paribas,Toyota,Bond,27/05/2018 14:39:32,211.14
State Bank of India,SimCorp,Futures,16/02/2018 22:13:53,32.72
State Bank of India,Google,CDS,28/11/2018 05:58:14,565.67
Fannie Mae,Amazon,Deposit,22/03/2018 22:40:20,374.91
UOB,Ford,CDS,13/12/2018 07:43:57,627.33
Deutsche Bank,Google,Loan,15/09/2018 20:04:12,573.90
Bank of America,Amazon,Bond,25/06/2018 13:38:14,317.02
Finanz Informatik,Samsung,Loan,23/11/2018 01:30:40,209.23
Barclays,Apple,Futures,04/10/2018 02:09:06,298.54
State Bank of India,SimCorp,Swap,11/11/2018 10:55:15,663.55
Deutsche Bank,SimCorp,CDS,12/03/2018 18:52:24,110.63
Finanz Informatik,Amazon,Deposit,10/09/2018 14:59:15,524.08
Barclays,SimCorp,Options,21/05/2018 19:57:24,271.40
BNP Paribas,Microsoft,Options,02/07/2018 22:23:14,241.82
Fannie Mae,Toyota,Equity,17/03/2018 12:40:14,172.65
Barclays,Toyota,Swap,14/04/2018 03:59:15,415.94
UOB,SimCorp,Swap,12/07/2018 03:52:16,304.09
Fannie Mae,Toyota,Deposit,17/12/2018 16:24:19,286.22
BNP Paribas,Toyota,Deposit,01/10/2018 10:21:13,266.43
State Bank of India,Google,Deposit,17/10/2018 17:51:37,56.06
Bank of America,Amazon,Options,15/02/2018 15:50:57,412.85
Deutsche Bank,Toyota,Futures,15/03/2018 02:37:08,588.58
UOB,Walmart,Equity,13/09/2018 03:59:06,59.57
UOB,Toyota,Options,18/05/2018 17:08:42,325.02
Bank of America,Amazon,Futures,07/04/2018 07:42:34,100.61
BNP Paribas,Toyota,Bond,21/10/2018 23:12:53,143.75
Deutsche Bank,Toyota,Options,28/10/2018 22:09:06,357.94
State Bank of India,Ford,Swap,13/02/2018 09:10:57,463.60
Barclays,Amazon,Deposit,23/11/2018 02:39:46,116.39
Bank of America,Microsoft,Swap,22/10/2018 19:47:40,432.43
Fannie Mae,Walmart,Swap,17/06/2018 05:49:01,94.42
UOB,Microsoft,Futures,02/07/2018 05:55:45,124.67
Finanz Informatik,Amazon,Futures,08/11/2018 17:54:08,21.45
Bank of America,SimCorp,CDS,01/03/2018 19:26:22,245.06
Fannie Mae,Walmart,Futures,25/04/2018 07:49:26,176.28
State Bank of India,Apple,CDS,01/05/2018 18:08:06,427.49
Finanz Informatik,Toyota,CDS,22/08/2018 08:33:14,168.19
UOB,SimCorp,Futures,20/05/2018 15:53:13,178.03
State Bank of India,SimCorp,Futures,21/10/2018 14:50:21,31.87
Deutsche Bank,Microsoft,Equity,10/05/2018 13:01:49,63.86
Deutsche Bank,Walmart,Swap,22/06/2018 09:32:15,301.93
UOB,Ford,Bond,28/03/2018 19:18:49,285.26
Barclays,Google,Bond,17/03/2018 11:22:06,243.97
Bank of America,Apple,CDS,08/06/2018 07:34:56,14.19
BNP Paribas,Walmart,CDS,12/10/2018 18:16:58,22.18
Finanz Informatik,Google,Swap,03/04/2018 13:33:40,249.88
State Bank of India,SimCorp,Equity,22/07/2018 18:12:35,331.07
Fannie Mae,Amazon,Deposit,05/07/2018 21:30:15,693.72
Fannie Mae,Amazon,CDS,25/07/2018 10:11:23,702.00
Deutsche Bank,Samsung,Bond,11/09/2018 14:26:11,305.31
Bank of America,Toyota,Bond,09/09/2018 21:25:22,34.91
BNP Paribas,Microsoft,Deposit,05/01/2018 14:47:39,50.56
Bank of America,Samsung,Equity,28/03/2018 09:15:03,248.23
Barclays,Microsoft,Equity,08/03/2018 12:22:56,82.85
BNP Paribas,Samsung,Equity,20/03/2018 10:02:06,194.38
UOB,Toyota,Options,02/09/2018 18:30:48,471.30
Deutsche Bank,Amazon,Equity,22/08/2018 17:08:41,728.35
Fannie Mae,Samsung,Futures,09/08/2018 18:36:58,499.70
Finanz Informatik,Google,Futures,21/05/2018 16:46:28,317.32
State Bank of India,Walmart,Equity,10/03/2018 15:35:35,71.45
Finanz Informatik,Amazon,Loan,16/12/2018 23:18:53,433.21
Fannie Mae,SimCorp,Loan,18/03/2018 12:54:52,142.89
State Bank of India,Walmart,Options,19/03/2018 16:39:14,158.91
Fannie Mae,Apple,Options,08/07/2018 23:48:32,222.68
Finanz Informatik,Samsung,Bond,11/11/2018 11:18:59,638.66
Deutsche Bank,Toyota,CDS,02/05/2018 15:47:09,503.61
Finanz Informatik,Apple,Options,03/10/2018 04:59:43,240.69
Deutsche Bank,Amazon,Bond,21/02/2018 02:37:42,650.87
Barclays,Walmart,CDS,26/06/2018 11:20:12,241.11
Fannie Mae,Walmart,Loan,13/12/2018 07:19:17,324.82
Barclays,Walmart,Bond,05/12/2018 09:39:34,234.20
BNP Paribas,Apple,Loan,14/01/2018 16:26:06,70.04
UOB,Samsung,Equity,13/04/2018 01:08:07,541.58
Deutsche Bank,Amazon,Swap,21/08/2018 19:36:43,329.23
UOB,Toyota,Options,18/06/2018 03:22:11,190.66
UOB,Google,Futures,12/03/2018 16:21:45,362.92
Fannie Mae,SimCorp,Swap,08/03/2018 16:10:40,104.46
BNP Paribas,Toyota,Deposit,22/04/2018 02:15:46,234.33
Deutsche Bank,Ford,CDS,16/12/2018 13:54:45,276.32
Barclays,Samsung,Equity,09/03/2018 07:52:21,37.44
State Bank of India,Toyota,Deposit,19/10/2018 04:27:09,191.89
Barclays,Walmart,Bond,14/02/2018 07:53:56,169.33
UOB,Amazon,Futures,06/03/2018 06:28:35,512.26
Fannie Mae,Ford,Options,11/09/2018 22:06:51,529.83
BNP Paribas,Toyota,Loan,19/11/2018 21:46:08,120.24
Barclays,Ford,CDS,06/06/2018 13:16:36,71.27
Deutsche Bank,Samsung,Equity,06/12/2018 12:01:22,281.81
Fannie Mae,Apple,CDS,19/04/2018 01:04:35,434.51
Barclays,Amazon,Swap,02/12/2018 06:13:08,223.93
Deutsche Bank,SimCorp,Loan,20/11/2018 05:37:26,443.99
State Bank of India,Amazon,Futures,23/02/2018 09:15:25,167.90
Barclays,Toyota,Bond,27/04/2018 08:58:09,205.51
Finanz Informatik,Ford,Deposit,25/11/2018 17:44:51,797.05
Barclays,Walmart,Swap,13/05/2018 02:57:44,288.01
BNP Paribas,Samsung,Loan,11/04/2018 01:28:02,140.59
Fannie Mae,SimCorp,Options,25/09/2018 23:34:29,365.65
Deutsche Bank,Amazon,Deposit,23/04/2018 20:45:37,50.48
Barclays,Microsoft,Swap,26/03/2018 12:33:31,748.37
Finanz Informatik,Toyota,Swap,07/03/2018 22:05:10,451.45
Barclays,SimCorp,Futures,01/02/2018 14:56:02,270.79
Finanz Informatik,Samsung,Equity,28/12/2018 23:30:24,316.01
Barclays,Apple,Swap,24/06/2018 22:25:39,360.91
UOB,Walmart,Bond,12/05/2018 22:48:50,86.65
Bank of America,SimCorp,Swap,17/12/2018 10:31:01,54.29
Barclays,Toyota,Loan,01/02/2018 11:30:59,69.91
Fannie Mae,Microsoft,Swap,22/09/2018 16:46:50,55.63
Fannie Mae,Toyota,Loan,23/07/2018 22:05:58,80.08
Barclays,Amazon,Futures,12/11/2018 03:15:55,422.23
Barclays,Samsung,Options,04/01/2018 07:35:17,357.10
Deutsche Bank,Toyota,Futures,01/03/2018 18:25:50,196.49
Finanz Informatik,SimCorp,Bond,20/11/2018 18:52:03,54.69
Barclays,Samsung,Futures,18/07/2018 09:08:13,191.53
Finanz Informatik,Samsung,Deposit,23/12/2018 18:56:14,221.42
Deutsche Bank,Amazon,Options,18/04/2018 21:43:40,603.24
Barclays,SimCorp,Bond,13/07/2018 18:12:53,150.06
Deutsche Bank,Google,Futures,20/10/2018 13:46:08,376.23
UOB,Walmart,Equity,01/08/2018 01:17:11,69.30
Deutsche Bank,SimCorp,Deposit,05/01/2018 19:47:14,746.10
Bank of America,Apple,CDS,02/03/2018 12:56:47,57.61
BNP Paribas,Walmart,Options,15/06/2018 17:21:25,95.37
Bank of America,Apple,Swap,01/10/2018 05:20:27,253.70
UOB,SimCorp,Options,11/01/2018 19:58:58,565.29
BNP Paribas,SimCorp,Options,19/11/2018 02:51:26,318.76
Barclays,Amazon,CDS,15/02/2018 13:07:53,237.95
Fannie Mae,SimCorp,Equity,09/09/2018 13:58:33,175.93
UOB,Amazon,Deposit,10/12/2018 01:26:04,32.62
Finanz Informatik,Ford,Swap,12/03/2018 09:51:31,122.03
Deutsche Bank,Apple,Deposit,11/09/2018 14:20:54,474.22
BNP Paribas,Microsoft,Futures,19/09/2018 03:32:42,107.80
BNP Paribas,Apple,Deposit,16/04/2018 07:32:57,413.10
Deutsche Bank,SimCorp,Swap,02/03/2018 16:35:10,260.70
Deutsche Bank,SimCorp,Futures,25/01/2018 01:30:13,474.35
UOB,Google,Deposit,21/01/2018 15:19:31,200.87
BNP Paribas,Amazon,Options,12/08/2018 15:19:12,29.72
Bank of America,Amazon,Bond,23/01/2018 14:33:44,669.95
UOB,Microsoft,Futures,04/12/2018 13:41:56,223.76
Finanz Informatik,Apple,Bond,19/07/2018 08:54:52,224.90
Deutsche Bank,Microsoft,Options,23/07/2018 11:04:45,198.39
BNP Paribas,Walmart,Equity,10/08/2018 18:56:40,58.00
State Bank of India,Amazon,Deposit,18/03/2018 11:21:34,433.07
Deutsche Bank,Toyota,Bond,23/02/2018 12:46:53,198.75
Barclays,Ford,CDS,11/04/2018 19:55:23,117.49
Barclays,Microsoft,Loan,09/10/2018 08:32:18,157.64
Fannie Mae,SimCorp,Futures,15/09/2018 10:28:58,363.04
State Bank of India,Apple,Futures,10/11/2018 23:39:28,719.22
Bank of America,Ford,Futures,04/06/2018 10:19:19,713.41
State Bank of India,SimCorp,Swap,15/11/2018 01:33:59,434.10
Finanz Informatik,Ford,Options,26/04/2018 08:45:30,764.21
Deutsche Bank,Apple,Futures,23/02/2018 04:06:55,182.26
BNP Paribas,Google,Equity,26/05/2018 12:06:38,99.87
Barclays,Walmart,CDS,14/11/2018 14:24:05,147.70
Deutsche Bank,Samsung,Deposit,22/07/2018 21:03:50,445.12
State Bank of India,Walmart,Futures,25/09/2018 05:49:12,27.23
Finanz Informatik,Google,Bond,26/02/2018 01:22:33,191.89
UOB,Apple,Futures,12/10/2018 07:17:37,189.11
Barclays,Microsoft,Options,12/01/2018 19:16:59,73.16
Deutsche Bank,Google,CDS,16/02/2018 13:41:44,338.57
Bank of America,SimCorp,Equity,17/11/2018 21:15:36,466.41
State Bank of India,Google,Options,27/05/2018 23:33:06,192.42
UOB,Amazon,Options,13/05/2018 13:21:15,132.02
Bank of America,SimCorp,Bond,15/11/2018 23:05:42,228.30
Bank of America,Toyota,CDS,10/05/2018 13:37:17,264.99
State Bank of India,Walmart,Bond,28/07/2018 03:56:47,108.07
Bank of America,Ford,Loan,01/06/2018 09:12:44,52.34
State Bank of India,Samsung,CDS,15/02/2018 03:41:10,862.96
State Bank of India,Apple,Bond,25/09/2018 23:32:30,34.18
BNP Paribas,Microsoft,Loan,01/06/2018 14:20:16,392.73
Finanz Informatik,Samsung,Futures,18/03/2018 04:57:52,361.36
Barclays,Toyota,CDS,03/06/2018 11:56:37,882.41
UOB,Toyota,Deposit,28/06/2018 15:33:13,73.65
UOB,Amazon,Deposit,17/01/2018 02:39:52,143.92
BNP Paribas,Walmart,Options,27/12/2018 06:33:49,66.28
Deutsche Bank,Toyota,CDS,05/04/2018 15:59:56,186.58
Bank of America,Toyota,CDS,04/01/2018 23:57:42,23.15
UOB,Apple,Options,01/10/2018 05:11:53,128.77
BNP Paribas,Toyota,Swap,09/08/2018 01:44:29,393.76
BNP Paribas,Toyota,CDS,05/01/2018 07:56:30,817.98
Finanz Informatik,Samsung,Swap,21/04/2018 14:12:53,807.18
Barclays,Apple,Futures,27/06/2018 20:50:08,306.00
Finanz Informatik,SimCorp,Deposit,28/12/2018 03:24:28,139.29
Fannie Mae,Toyota,Bond,13/07/2018 05:48:38,496.94
UOB,Samsung,Equity,13/11/2018 23:18:11,646.64
Barclays,Samsung,Deposit,20/09/2018 19:02:56,45.97
Fannie Mae,Toyota,Equity,22/07/2018 19:03:51,193.03
BNP Paribas,Google,Loan,08/12/2018 11:19:56,21.24
UOB,Google,Loan,09/05/2018 10:51:20,64.23
Fannie Mae,Samsung,Loan,16/03/2018 03:35:36,596.21
State Bank of India,Amazon,Equity,07/05/2018 06:32:50,87.72
Barclays,Apple,Futures,25/04/2018 23:24:53,152.50
State Bank of India,Toyota,Swap,16/05/2018 05:50:06,105.98
UOB,Toyota,Deposit,04/11/2018 09:04:56,96.24
UOB,Apple,Deposit,05/08/2018 03:27:07,21.20
Deutsche Bank,Toyota,Loan,20/10/2018 05:26:47,202.27
Barclays,SimCorp,Futures,12/04/2018 18:16:32,97.49
State Bank of India,SimCorp,Deposit,14/03/2018 22:50:23,79.69
UOB,Toyota,Deposit,13/10/2018 04:22:02,99.31
State Bank of India,Microsoft,Bond,19/02/2018 10:35:34,161.81
UOB,Ford,Swap,19/10/2018 06:55:09,90.75
Finanz Informatik,Apple,Options,08/06/2018 16:41:36,258.50
Barclays,Microsoft,Loan,16/03/2018 15:23:38,279.06
Finanz Informatik,Microsoft,Equity,16/10/2018 20:45:55,74.84
Fannie Mae,Google,CDS,15/05/2018 21:42:39,45.78
Deutsche Bank,Ford,CDS,27/12/2018 15:34:43,841.63
State Bank of India,Microsoft,Options,13/04/2018 02:52:45,27.25
State Bank of India,Toyota,Futures,01/09/2018 05:32:57,408.26
State Bank of India,Toyota,Deposit,09/07/2018 08:36:14,513.21
Finanz Informatik,Apple,CDS,09/03/2018 22:36:26,818.80
BNP Paribas,Ford,Deposit,02/06/2018 23:34:58,477.85
BNP Paribas,Walmart,Bond,02/07/2018 04:30:04,736.01
Barclays,Walmart,Swap,04/12/2018 21:06:15,183.27
Bank of America,Apple,Bond,20/04/2018 01:56:20,65.01
UOB,Walmart,Loan,25/02/2018 16:03:06,211.06
Barclays,SimCorp,Futures,27/11/2018 09:03:51,29.05
UOB,Microsoft,Options,04/11/2018 23:36:44,80.57
Fannie Mae,Google,Options,10/08/2018 21:23:47,118.02
UOB,Apple,Bond,18/04/2018 02:38:10,28.75
State Bank of India,Apple,Bond,14/05/2018 11:03:23,119.61
BNP Paribas,Microsoft,Equity,27/02/2018 07:58:51,871.58
State Bank of India,Microsoft,Deposit,10/11/2018 20:12:19,93.13
Finanz Informatik,Amazon,Futures,03/07/2018 03:09:13,36.92
UOB,Ford,Deposit,11/03/2018 13:48:02,100.84
BNP Paribas,Toyota,CDS,10/03/2018 17:17:09,135.03
Finanz Informatik,Toyota,Equity,16/12/2018 15:51:39,8.06
BNP Paribas,Toyota,CDS,08/08/2018 23:27:38,11.98
BNP Paribas,Google,Swap,27/11/2018 14:48:14,402.67
